device,loop,zone,description,subtype,type,name,locationId
66,38,2068,FPS-BMV-T4-L54-Z6-14-15-16,a03,HYD,L38 - D66 - Z2068 - FPS-BMV-T4-L54-Z6-14-15-16 - HYD,
115,38,337,IRD-IT4-L64M-SEL-01 SWITCH ROOM,x02,OPT,L38 - D115 - Z337 - IRD-IT4-L64M-SEL-01 SWITCH ROOM - OPT,IRD-IT4-L64M-SEL-01
116,38,337,IRD-IT4-L64M-SEL-01 SWITCH ROOM,x02,OPT,L38 - D116 - Z337 - IRD-IT4-L64M-SEL-01 SWITCH ROOM - OPT,IRD-IT4-L64M-SEL-01
117,38,337,IRD-IT4-L64M-SEL-01 SWITCH ROOM,x02,OPT,L38 - D117 - Z337 - IRD-IT4-L64M-SEL-01 SWITCH ROOM - OPT,IRD-IT4-L64M-SEL-01
118,38,337,IRD-IT4-L64M-SEL-01 SWITCH ROOM,x02,OPT,L38 - D118 - Z337 - IRD-IT4-L64M-SEL-01 SWITCH ROOM - OPT,IRD-IT4-L64M-SEL-01
119,38,337,IRD-IT4-L64M-SEL-01 SWITCH ROOM,x02,OPT,L38 - D119 - Z337 - IRD-IT4-L64M-SEL-01 SWITCH ROOM - OPT,IRD-IT4-L64M-SEL-01
120,38,930,TOWER 4 TOP OF LIFT Q6-7-8,x02,OPT,L38 - D120 - Z930 - TOWER 4 TOP OF LIFT Q6-7-8 - OPT,
121,38,338,IRD-IT4-L65-PVT-01 LIFT MOTOR RM,x02,OPT,L38 - D121 - Z338 - IRD-IT4-L65-PVT-01 LIFT MOTOR RM - OPT,IRD-IT4-L65-PVT-01
124,38,3592,DUCT PROBE SPF-ICG-L65-01,x02,OPT,L38 - D124 - Z3592 - DUCT PROBE SPF-ICG-L65-01 - OPT,
125,38,3593,DUCT PROBE SPF-ICG-L65-02,x02,OPT,L38 - D125 - Z3593 - DUCT PROBE SPF-ICG-L65-02 - OPT,
1,41,7,IRD-ICG-B03-SEL-01 ELEC CUPBOARD,x02,OPT,L41 - D1 - Z7 - IRD-ICG-B03-SEL-01 ELEC CUPBOARD - OPT,IRD-ICG-B03-SEL-01
